('7.500', '11.430')
('11.430', '14.730')
('14.880', '16.740')
('17.280', '22.290')
('22.620', '28.260')
('28.260', '31.260')
('31.560', '34.170')
('34.170', '36.960')
('36.990', '40.890')
('41.070', '44.760')
('45.180', '48.000')
('48.060', '49.080')
('49.140', '50.400')
('50.400', '51.510')
('52.110', '54.000')
('54.000', '55.680')
('55.920', '57.720')
('57.930', '59.280')
('59.520', '61.620')
('61.680', '63.570')
('63.660', '66.810')
('67.590', '68.520')
('68.520', '71.640')
('71.940', '74.220')
('74.280', '78.900')
('78.900', '80.190')
('80.190', '82.920')
('84.120', '85.560')
('85.710', '87.930')
('88.050', '89.160')
('89.460', '92.340')
('92.550', '95.400')
('95.430', '97.830')
('98.190', '101.190')
('102.150', '104.490')
('104.820', '107.640')
('107.640', '108.390')
('108.480', '109.320')
('109.650', '111.750')
('111.990', '113.130')
('113.130', '114.570')
('114.930', '116.940')
('117.210', '118.230')
('120.270', '121.740')
('121.830', '123.480')
('123.570', '124.620')
('125.040', '125.790')
('125.850', '128.880')
('128.910', '130.110')
('130.860', '131.910')
('132.120', '133.860')
('133.860', '137.130')
('137.940', '139.050')
('139.980', '141.450')
('142.770', '144.030')
('146.190', '147.900')
('148.050', '149.190')
('150.570', '151.380')
('151.440', '152.820')
('155.430', '157.050')
('157.110', '158.430')
('158.430', '159.600')
('159.930', '161.310')
('161.340', '163.560')
('163.800', '164.730')
('164.970', '167.400')
('167.400', '169.920')
('170.130', '171.450')
('171.750', '173.220')
('173.400', '174.180')
('174.300', '175.560')
('176.280', '177.390')
('177.390', '178.500')
('179.220', '179.850')
('180.090', '182.130')
('182.280', '184.380')
('184.800', '185.640')
('187.050', '189.210')
('189.450', '192.510')
('194.070', '196.080')
('196.650', '197.940')
('197.940', '199.320')
('199.710', '201.000')
('201.510', '202.650')
('202.650', '203.850')
('203.850', '204.630')
('204.630', '205.920')
('207.120', '208.650')
('208.770', '209.910')
('211.560', '214.230')
('214.710', '216.570')
('216.600', '217.710')
('217.980', '221.730')
('222.870', '224.010')
('224.760', '225.510')
('225.990', '226.920')
('227.970', '230.190')
('230.820', '231.780')
('231.780', '233.010')
('233.970', '235.350')
('236.340', '238.890')
('239.820', '241.530')
('243.030', '244.950')
('244.980', '246.150')
('247.290', '248.910')
('249.390', '251.340')
('251.820', '253.290')
('254.610', '257.070')
('257.160', '258.150')
('258.570', '259.590')
('260.790', '262.260')
('262.680', '263.880')
('264.300', '265.500')
('265.560', '267.030')
('269.700', '270.660')
('271.050', '273.150')
('273.270', '274.320')
('274.560', '276.510')
('276.960', '277.890')
('278.700', '280.230')
('280.230', '280.830')
('280.950', '282.450')
('282.600', '285.240')
('285.510', '287.340')
('288.540', '289.530')
('289.950', '291.360')
('292.080', '294.180')
('294.780', '296.130')
('296.790', '298.260')
('299.130', '300.000')
('302.850', '304.470')
('308.580', '310.170')
('310.170', '311.160')
('311.640', '312.450')
('312.720', '314.370')
('315.480', '317.280')
('317.820', '319.380')
('319.680', '321.060')
('321.600', '322.950')
('323.100', '323.700')
('323.850', '325.410')
('327.000', '328.830')
('329.610', '331.620')
('333.600', '334.620')
('335.250', '336.150')
('337.050', '338.040')
('338.250', '340.020')
('342.090', '344.610')
('346.890', '348.000')
('349.230', '350.640')
('350.850', '353.040')
('353.130', '354.240')
('354.690', '355.290')
('355.710', '357.030')
('359.790', '361.320')
('361.860', '363.870')
('363.870', '365.280')
('365.340', '367.260')
('368.040', '368.730')
('368.970', '369.930')
('372.000', '373.110')
('373.470', '374.550')
('375.600', '376.830')
('377.460', '378.360')
('378.420', '381.270')
('382.560', '384.090')
('384.270', '385.050')
('387.090', '388.110')
('390.480', '391.560')
('392.430', '394.530')
('395.220', '398.010')
('398.040', '399.120')
('399.180', '400.200')
('401.100', '402.120')
('404.760', '406.830')
('407.280', '408.600')
('408.600', '409.620')
('410.730', '411.570')
('411.570', '412.170')
('412.230', '413.160')
('414.330', '416.100')
('416.610', '417.270')
('417.480', '419.040')
('422.250', '423.210')
('423.210', '424.830')
('425.580', '427.230')
('429.450', '430.140')
('430.380', '431.730')
('433.080', '434.010')
('434.340', '435.270')
('438.030', '439.020')
('439.620', '440.370')
('441.990', '443.370')
('444.630', '445.440')
('445.470', '446.850')
('446.970', '448.110')
('448.200', '448.860')
('449.610', '450.540')
('451.380', '452.430')
('453.720', '455.040')
('455.700', '456.450')
('456.720', '458.040')
('458.430', '460.560')
('462.570', '463.920')
('465.300', '465.900')
('466.170', '468.030')
('468.210', '469.530')
('470.430', '471.240')
('471.360', '472.650')
('473.850', '474.720')
('474.930', '476.130')
('477.900', '478.500')
('478.500', '479.190')
('479.190', '479.790')
('480.330', '481.770')
('482.370', '482.970')
('485.400', '487.140')
('487.860', '489.270')
('490.230', '490.980')
('491.340', '493.500')
('493.650', '494.730')
('494.820', '495.510')
('497.820', '498.870')
('499.290', '500.280')
('500.280', '500.940')
('501.780', '502.740')
('505.380', '506.160')
('506.490', '508.260')
('508.500', '509.880')
('510.030', '511.380')
('514.110', '515.190')
('515.280', '515.880')
('517.170', '518.220')
('518.580', '519.210')
('519.360', '521.880')
('521.880', '523.320')
('523.740', '525.120')
('527.610', '528.330')
('528.600', '529.950')
('532.350', '533.310')
('534.060', '535.110')
('535.590', '536.880')
('538.080', '538.890')

