('0.270', '7.440')
('7.440', '8.850')
('9.120', '15.090')
('15.090', '15.900')
('16.080', '23.160')
('23.340', '26.850')
('26.940', '32.730')
('32.760', '35.430')
('35.850', '42.840')
('42.840', '48.330')
('48.510', '55.440')
('55.830', '58.350')
('58.350', '60.240')
('60.510', '65.250')
('65.310', '71.040')
('71.160', '73.140')
('73.410', '75.510')
('75.990', '76.620')
('76.620', '79.530')
('79.560', '85.500')
('85.530', '87.420')
('87.450', '88.650')
('88.650', '90.630')
('90.750', '95.820')
('96.030', '100.710')
('101.220', '105.720')
('105.750', '110.130')
('110.190', '113.640')
('114.060', '115.410')
('115.410', '118.860')
('118.860', '120.660')
('120.660', '121.560')
('121.590', '124.140')
('124.140', '131.130')
('131.130', '134.370')

('134.550', '139.920')
